UNITID,Instruction,Research and Public Service,"Academic and Institutional Support, and Student Services",Total Expenses,Year
112817,75062617,2267912,65560066,164709723,2001
112826,16004379,464803,10132291,32038792,2001
113193,17164481,2057630,15063785,41597750,2001
113573,12574858,503021,12503683,32704836,2001
113634,40117089,1007715,29610417,78963608,2001
113856,27940891,952518,40599716,85596425,2001
113865,19809220,0,6910800,48525310,2001
113953,383667,9079,227749,1068915,2001
113980,38635711,605293,29420629,85387081,2001
114433,3464243,75345,5286069,10327319,2001
114789,31224987,4143721,24872177,78394217,2001
114831,79561455,3351082,63138509,181524391,2001
114938,9366920,1755403,8282225,24508215,2001
115001,28447441,1664162,25890469,73637780,2001
115287,35375716,355423,35676822,86729182,2001
115393,15609771,761318,13492822,35703941,2001
115755,42249310,6004505,35702171,109291546,2001
115861,16933871,0,18973979,50670338,2001
117052,14779384,621962,12124409,36573557,2001
117195,5645980,3340,4156967,11550918,2001
117274,3776723,28999,4139839,9295638,2001
117645,43457971,3892486,32620363,104320098,2001
117681,0,0,0,0,2001
117690,12625963,1007077,20921297,42728704,2001
117706,18325758,1118180,25495784,57060834,2001
117715,9424433,452758,18638439,36580502,2001
117724,23081531,30008,30859753,67952878,2001
117733,21057400,906061,35359865,70910959,2001
117788,24632228,838830,42068205,87972834,2001
117803,1998978,0,283082,5176366,2001
117867,9944363,742440,20327478,37819735,2001
117894,17283807,295111,12347150,34612920,2001
117900,87724830,4708530,89046542,223198628,2001
118338,1630756,0,599352,2292291,2001
118347,16861939,1017759,12604822,36497145,2001
118684,6409668,217475,6708009,17172106,2001
118718,16225766,562268,16377424,46714181,2001
118912,18122677,2543815,18077991,50222857,2001
118930,0,0,0,0,2001
119067,16070445,1260467,11109558,38712148,2001
119137,17257368,78813,8966305,29017819,2001
119164,51078449,1192379,39137969,123929415,2001
119216,13950495,523799,12324928,34030795,2001
119331,12393505,819830,11441205,29679324,2001
120023,70273506,3674671,44489970,165890314,2001
120290,15047814,2758744,16772952,39219325,2001
120421,9239059,27193,7780312,18993346,2001
120953,3862627,28999,4205921,9475186,2001
120971,35004777,665223,39062043,84410916,2001
121044,45895925,3456296,34737113,106254784,2001
121178,41139515,614067,40858718,105527217,2001
121707,13045849,458051,11817830,34274295,2001
121886,25808624,621504,19632674,61739763,2001
121901,39894772,2353797,42373967,101575436,2001
122320,82125052,4942009,69664148,193611590,2001
122409,167298110,71635671,136328767,473520507,2001
122597,101977677,39634269,93877456,300841869,2001
122658,31386984,771358,24515137,75200060,2001
122746,34384163,3014882,33095554,102196318,2001
122755,125573168,17752489,96128289,299437913,2001
122782,4688082,68450,10631745,29755999,2001
122791,19646114,627734,10371926,33796663,2001
122889,30383651,204025,17549227,61681613,2001
122977,45605964,1347336,45899074,108353662,2001
123013,48696802,1472563,27015992,95184509,2001
123217,21583486,0,17325719,50820438,2001
123299,17174253,993578,16700366,43699579,2001
123341,29937199,571578,25283012,73255809,2001
123484,6166722,839390,4699473,14478692,2001
123493,689195,0,1643869,3677818,2001
123509,13634703,289775,9318627,26605968,2001
123563,19331272,1185020,14357474,41179197,2001
123572,28982962,24145430,37487927,108663033,2001
123800,30644402,571578,25744627,74830130,2001
123925,0,0,7560415,20076077,2001
124113,6025090,91916,4988753,13577997,2001
124557,39943000,275183000,340458000,851964000,2001
125019,61901,0,6097708,16545707,2001
125028,15537098,248079,10725568,28826617,2001
125091,15769066,0,15470152,41359723,2001
125462,7985114,206261,10793765,25827189,2001
125471,10233276,449812,19849650,38521812,2001
125499,36300207,2296846,24731055,84200223,2001
125505,0,0,0,0,2001
126100,42348428,1015941,30966360,91521342,2001
126119,17051093,2470695,17163961,48201313,2001
126182,8925393,268290,7441057,23815238,2001
126207,13727595,68307,11841794,33581518,2001
126289,13287831,0,8007431,26254109,2001
126562,61524994,11894999,38510101,128021230,2001
126571,142052400,202669351,43723210,443341090,2001
126580,24051655,2068914,16015872,54088072,2001
126614,175090393,169243835,117210887,555313463,2001
126711,11011901,3467750,10005684,35577374,2001
126748,4080528,0,3207119,9855882,2001
126775,32802280,19414550,15727864,86342901,2001
126818,139839000,157970000,68058000,440963845,2001
126863,8077889,0,4872784,18546069,2001
126915,1584094,0,1330534,3625799,2001
126942,12195332,597835,9961600,31755042,2001
127158,6495401,99245,4784468,12529831,2001
127185,13748591,891598,11049451,34715562,2001
127200,22557976,311055,15771803,49283117,2001
127389,2668815,1564,2320650,6565308,2001
127556,15029931,124569,7384486,31934618,2001
127565,43525034,455926,30770282,94189391,2001
127617,4053744,190821,2654755,8634768,2001
127732,5100620,0,3425911,12504664,2001
127741,45368328,3762912,36148522,106512113,2001
127778,7131463,856,1964233,13148688,2001
127820,18107789,137860,12829982,41951382,2001
127884,12643169,0,6428793,26796979,2001
127909,12873933,1743139,7411555,27191075,2001
128036,2916209,0,1222305,5131762,2001
128106,13799732,5540645,13538076,44852682,2001
128151,1489548,0,855140,3148078,2001
128258,6337117,167479,4158723,15594910,2001
128328,92241933,8848060,117622176,303631658,2001
128391,7785790,89596,6684150,20125073,2001
128577,3023958,462090,4876995,9585731,2001
128771,41844196,3712897,41842450,112529884,2001
128780,227678,0,2411759,2783581,2001
129020,171004504,91102333,121110387,486248420,2001
129215,18214383,1057222,24726861,58492676,2001
129367,8613275,20,8982967,21975824,2001
129543,7480173,0,8245862,20636190,2001
129695,10751740,59185,12108273,30147555,2001
129729,13096964,720046,14885588,34941150,2001
129756,4975016,0,6090139,13499456,2001
129808,8503424,0,8665582,20794266,2001
130004,13093764,0,14010811,33611007,2001
130040,4123433,0,5465206,11167016,2001
130217,2567755,42226,4962269,9210840,2001
130396,11060504,455675,9326328,25240869,2001
130493,47993459,1474234,40690917,109054360,2001
130606,7370822,0,9576006,20593416,2001
130624,20042266,283605,22251671,53980601,2001
130776,14867473,707886,15320125,44689987,2001
130882,0,0,6523075,6563780,2001
130891,9630830,1398332,7619857,25578837,2001
130907,6788216,827840,5059051,16926145,2001
130916,21407079,881955,12323533,43484574,2001
130934,21451103,4117310,19357061,56648310,2001
131399,35146781,7497374,30676858,88621892,2001
132374,3795377,0,596532,5158401,2001
132523,51562,0,12258,86061,2001
132675,520264,0,370514,1067693,2001
132693,23638745,6275688,20752847,66083875,2001
132709,47147173,999438,38847293,118849576,2001
132851,12578103,505579,10063750,35037823,2001
132903,118197354,67814905,75297923,316356154,2001
132976,355038,0,57427,1330692,2001
133021,6156179,21783,5440634,15300593,2001
133155,4698677,0,2915271,9115391,2001
133386,30642774,35966,23069666,71809219,2001
133508,11678576,0,16105673,38242333,2001
133650,72658546,28012420,48412716,196623479,2001
133669,96134328,22468490,70389134,248657375,2001
133702,46266280,555132,50007947,122406541,2001
133951,104278472,61188392,96470569,319428607,2001
133960,2978827,279860,3760860,8648260,2001
134097,169677581,106626508,112013187,493582964,2001
134130,425237000,430252000,185294000,1167877000,2001
134291,3061764,299959,1659031,6937354,2001
134307,1082198,0,602873,2045866,2001
134343,12295312,388651,14967150,35477447,2001
134495,30208026,1060831,23400417,72156434,2001
134608,29341663,968247,20265299,62790486,2001
135160,6978776,0,6832900,18278932,2001
135179,3827546,516361,1444145,6529197,2001
135188,4543604,0,6024351,13461506,2001
135267,2559344,0,1003644,4186041,2001
135276,475569,0,148291,1624872,2001
135294,1693994,0,1865197,4186309,2001
135391,12380149,6896,11916122,33978745,2001
135407,4040668,154203,2610528,8228189,2001
135522,3139976,0,950000,4369598,2001
135647,6043262,0,3968973,11930018,2001
135717,116169667,1747916,94823158,311987585,2001
135735,1664941,0,347834,4614517,2001
136145,2781628,66778,4093007,8930021,2001
136172,40507144,7871634,41568217,105727053,2001
136233,10176232,408207,14707509,31809851,2001
136303,4672460,0,1452445,6667242,2001
136358,33867526,4126,27608218,81193628,2001
136400,7631370,0,9476754,25304452,2001
136473,20959490,4500611,20596230,64180640,2001
136491,40968130,871934,1128346,43935755,2001
136516,10707843,102638,9093409,24775293,2001
136659,1537348,42019,918532,3104403,2001
136765,0,0,0,151230,2001
136826,8797646,0,3960536,15359302,2001
137023,1592799,98022,963577,3877126,2001
137078,40656101,95136,33196329,95895398,2001
137087,4251048,13231,1291889,6856260,2001
137096,25984475,4805253,22266818,69967645,2001
137120,3281358,0,2718518,7190233,2001
137209,22750443,127,16605938,49500260,2001
137245,9039962,0,3055156,15219135,2001
137281,7195166,0,7106337,17998357,2001
137315,5473643,7145,14638331,24293728,2001
137351,210301983,133798607,178354713,593511626,2001
137713,680315,0,382453,1420164,2001
137759,23073644,9368698,28583459,78200045,2001
137856,1497319,0,377192,2266140,2001
137865,61315,0,44961,817298,2001
138187,39021425,0,44637555,112543527,2001
138284,3620479,0,815940,4965086,2001
138354,33758190,9914770,36025909,97556103,2001
138372,570066,0,231789,1062266,2001
138479,10765795,0,1884882,14093897,2001
138488,142508,0,159411,769123,2001
138497,2217670,419245,1120945,4289590,2001
138558,9627084,858963,6736660,23305352,2001
138682,7475015,0,5073568,19474040,2001
138691,9085721,17463,5565963,20598286,2001
138716,18643067,671658,12948033,42953284,2001
138789,19785655,1570611,13810187,48686900,2001
138840,9216187,0,6124352,22039026,2001
138901,5207261,533539,5154544,16370750,2001
138956,11017162,0,6543174,23935466,2001
138983,17753111,428178,12849260,45347611,2001
139010,2496959,0,3161375,8404749,2001
139126,4181436,0,3040366,10577267,2001
139250,6145305,189336,4033517,14238053,2001
139278,5862236,0,5911373,14451436,2001
139311,16757646,777935,18158181,46199330,2001
139357,6496264,0,3936646,15772447,2001
139366,22079031,0,14187090,49643464,2001
139384,7098989,0,4622957,16361577,2001
139463,10442836,21245,5515818,21256052,2001
139621,3490465,0,2729680,8798661,2001
139700,6985930,0,8413759,19996736,2001
139719,13592518,7597499,14936262,45947975,2001
139755,148005098,295172215,79282535,595517111,2001
139764,10747869,1971220,8867264,28834038,2001
139773,8081064,114244,6687005,19689026,2001
139861,22155230,345557,12743551,46952126,2001
139904,5206465,0,5148331,20041685,2001
139931,57817169,3783385,38091361,138548134,2001
139940,118295606,63875538,87727468,339655453,2001
139959,166832597,372796138,167399541,862074325,2001
139968,5632905,0,4675169,16495736,2001
139986,5239844,0,4412073,14109277,2001
140012,11222507,0,6047151,21680564,2001
140076,6568322,0,4586977,13460797,2001
140085,6886026,87069,2894602,15724669,2001
140164,45865549,3710101,34096171,107980872,2001
140243,6837743,0,3780555,14143071,2001
140304,10596292,0,5832473,26005515,2001
140322,11867744,328260,7546644,27329730,2001
140331,7573582,0,6047210,20316289,2001
140401,189443806,24891255,45033595,271680655,2001
140483,6310076,0,5661946,16968814,2001
140599,4356117,0,2832153,10358618,2001
140669,16880009,0,9323917,34864920,2001
140678,6477948,0,4228404,14808584,2001
140809,3266283,0,1003282,5328635,2001
140942,6660159,0,5437092,16680051,2001
140960,14554502,3294003,12276125,49776741,2001
140997,3634957,0,3091416,10079211,2001
141006,6399183,0,5873105,16684355,2001
141097,17782337,698638,10171872,36206941,2001
141121,3948052,0,1890746,7426858,2001
141158,4371916,0,4695573,11690795,2001
141228,3654150,0,2806243,9022473,2001
141255,6612559,0,4185346,15422998,2001
141264,39637983,1181957,23211286,87398412,2001
141273,3837245,0,3385097,9952291,2001
141307,1504205,0,2443475,5991637,2001
141334,30730089,1367473,22584275,75525355,2001
141565,16010247,7344444,11691159,42918875,2001
141574,155794909,173152344,65852912,435842675,2001
141680,12420749,2170266,6635250,23502827,2001
141796,15425487,4213086,7608633,31790567,2001
141802,4213282,1426608,3723465,10374385,2001
141811,12664357,2488741,6657036,25316912,2001
141839,7531485,2642009,6522028,18185340,2001
141963,0,38054248,34200456,75914656,2001
141981,2507023,8392,1406752,4480944,2001
141990,3249955,571693,2808237,8414714,2001
142115,64031591,15114343,36662055,149067534,2001
142179,3734795,0,2625543,8002468,2001
142276,62490207,11521880,30024192,134998248,2001
142285,75535426,71987755,42990871,235495813,2001
142328,13836950,1447798,8795254,30091948,2001
142443,13506878,618798,9014053,30456186,2001
142559,13235342,11983465,10651553,42713415,2001
143215,15094388,5149769,26023322,58030901,2001
143279,13205540,4128922,15323022,42600406,2001
143613,5992433,1727972,5580107,16563290,2001
144005,39601851,5337588,24848249,92679620,2001
144157,13557931,1994771,15381429,42938961,2001
144166,13460692,1091070,16503746,40615789,2001
144175,11505182,714979,11658864,32359467,2001
144184,17941815,999282,20246745,48584846,2001
144193,12905262,736664,15475804,38533268,2001
144209,13134484,7842973,13724189,43785149,2001
144218,14903880,320719,15132573,38589642,2001
144564,4886254,2112220,6454481,18648197,2001
144704,161545,0,47500,272493,2001
144865,47263145,123397,34662143,105070260,2001
144892,54983357,8545840,38377279,126149078,2001
144944,16918665,1711337,13659427,40477486,2001
145336,21790604,2104885,27577432,58613737,2001
145521,6118940,989932,4674860,14150646,2001
145600,325905511,283925319,119150403,857812233,2001
145637,250193367,416643348,171847308,980796906,2001
145682,18504858,2485495,19853209,55515385,2001
145707,11397667,366356,11018125,32212612,2001
145813,103320464,25279820,74992909,242849844,2001
145831,7525553,2668756,6020666,23073211,2001
146205,9933741,2556509,9045310,29120256,2001
146278,4138295,1144801,5971353,13579423,2001
146296,22736913,1528560,14992590,48866019,2001
146348,8315677,2548850,6751488,20551247,2001
146366,10025290,0,3870825,17733093,2001
146418,7385982,804761,4077659,15283803,2001
146472,21232750,7597572,34654259,75137057,2001
146506,14129337,1074538,8819492,36059984,2001
146603,8873676,2687693,8608384,27286762,2001
146685,11400021,4091452,13120565,33664374,2001
147004,9406847,2127704,14065207,31421135,2001
147378,21857137,1298225,19794671,53690984,2001
147411,6282126,406905,7448864,17481351,2001
147703,107556707,24755752,102564201,279214447,2001
147776,31556472,12119673,33548059,97214381,2001
147800,24922810,2002124,13198586,52208939,2001
147916,18976447,2108024,17172646,50768165,2001
148007,7902418,1343879,10201295,22973036,2001
148256,6289056,2265609,5884907,19291701,2001
148292,6136574,452336,7754878,17513246,2001
148380,13094512,6205140,14209712,85106421,2001
148654,14388411,14155115,10232222,45787038,2001
148672,4523959,595505,6280900,14409824,2001
148821,4255764,1209602,3115086,10945578,2001
148937,5275254,547004,4913371,14904478,2001
148991,3763459,684628,2816015,9533071,2001
149222,130005541,67715280,115996215,345711879,2001
149231,50081616,23339003,39101703,139051079,2001
149240,0,0,6833518,5589698,2001
149365,12670266,3729265,14044154,38871553,2001
149532,16483897,3739689,21944989,56230318,2001
149587,498528,11382657,83662428,94451273,2001
149727,9530874,2047863,20090098,38143825,2001
149772,46670534,15528403,67331221,157412619,2001
149842,23066593,8611865,35761356,79800806,2001
150136,111843594,14271531,66828252,266257994,2001
150640,126304,0,0,133304,2001
150978,6456114,137015,3817773,14562237,2001
150987,13840077,1000717,7401341,30841371,2001
150996,5582630,488018,4062111,14250268,2001
151005,6389868,148033,4120998,15471230,2001
151014,3718950,338272,2680929,9245977,2001
151023,4752258,498308,3929071,12840240,2001
151032,7478555,759510,4906564,18299359,2001
151041,3671221,712450,2430194,9091348,2001
151050,6809412,175351,4031779,15325413,2001
151069,7889029,389176,3010531,16085630,2001
151078,3131039,0,2580721,7660761,2001
151087,10424617,5343303,5842535,28126338,2001
151096,2413912,0,2523518,7557391,2001
151102,34311463,2650629,16410702,72883449,2001
151111,228065823,160316859,144569655,644471550,2001
151306,24574815,1271847,18950767,67337092,2001
151324,57584283,10490567,34792435,148474228,2001
151333,7561639,904265,5689443,20641825,2001
151342,23960530,894112,11255042,50014341,2001
151351,246562847,127443880,148441531,665482142,2001
151360,16348681,1396039,7968200,38971230,2001
151379,17325849,346756,10313134,39336330,2001
151388,5920092,3930345,5490195,20967217,2001
151537,138595,0,0,209904,2001
152248,31884646,2979879,12541749,63414657,2001
152266,9969545,989957,4786469,23535670,2001
152637,32771009,14830741,13378956,73907017,2001
153214,40257572,0,21689278,79270925,2001
153311,25565704,3583927,11797991,49539237,2001
153445,13296629,6846597,5436588,31331444,2001
153472,13332793,0,8303980,27463774,2001
153524,13310605,0,6716275,24882985,2001
153533,11967790,0,6598445,23519753,2001
153603,157866090,210922908,106481258,587896986,2001
153630,15092614,0,7843851,28210193,2001
153658,243886007,242084945,163638807,810157138,2001
153737,31300154,40305,27070759,71581123,2001
153922,8872266,0,8088668,20958868,2001
154059,14320229,0,5700224,24926910,2001
154095,60041377,22365673,48164690,172236704,2001
154110,15872810,0,5263577,24946700,2001
154129,4476436,1637854,2173098,9798210,2001
154378,9090151,3637325,6392387,22799859,2001
154396,6073157,0,3318746,11977277,2001
154572,10862369,1383571,8198501,25759106,2001
154642,2787342,0,2268932,7109871,2001
154697,6659298,273083,6224962,16778444,2001
154800,12408382,555859,11484840,32343811,2001
154907,3239886,0,6346297,12260568,2001
154925,4033023,0,3031274,9708332,2001
154934,4064688,168599,2498454,8997631,2001
154952,6271606,0,4293804,15752746,2001
154998,3799273,648070,5162202,13446774,2001
155025,21805587,2661030,17045974,51972983,2001
155052,2501711,0,546020,3681645,2001
155061,22305261,3019797,16242596,53419081,2001
155098,4200365,9233,2343912,8921317,2001
155104,6540301,692437,5944619,16905602,2001
155140,4115781,0,5182638,14582402,2001
155186,2565847,278,2975091,8059704,2001
155195,7985471,2053088,7468880,22395350,2001
155201,947950,0,4827485,7075643,2001
155210,36856665,5058489,39961716,95478494,2001
155265,4498260,0,449436,6305467,2001
155292,13729821,87930,8559180,30955209,2001
155317,140813136,125315456,76417333,417576617,2001
155326,91204323,62838961,35861555,213524173,2001
155399,114257282,132449658,59752488,343310092,2001
155423,22642749,0,16089888,47849403,2001
155450,3661940,0,3185702,8093950,2001
155478,1116251,0,464365,2072032,2001
155487,2267297,0,920447,3869490,2001
155566,3079923,14796,2775172,7189387,2001
155593,1092731,0,947479,3023031,2001
155609,1071061,0,338326,1977707,2001
155618,1612261,0,1701736,4457167,2001
155681,24277154,3860603,16991816,57944580,2001
155715,3271022,0,3138695,8388204,2001
155830,1552652,0,480623,2598352,2001
155858,3465050,0,4120338,10890748,2001
156082,20793257,3993470,19197401,52565880,2001
156107,11340986,0,1777272,14985627,2001
156125,47990387,25206048,40827331,144793994,2001
156620,58591987,30451733,49913111,176572388,2001
157058,12274331,6444368,17871545,50869794,2001
157085,221098988,299883022,131890150,759450418,2001
157173,12585139,1141988,5753034,27852789,2001
157289,122889000,151785000,94226000,448843000,2001
157386,29446266,6714697,22966543,88345463,2001
157401,41813855,6825739,26191023,102702103,2001
157447,37188000,3711000,30193000,97258000,2001
157854,125157930,25693510,94168308,336659099,2001
157942,10070037,134421,2953603,15825932,2001
157951,56375413,19486824,39748142,152475976,2001
158088,1526452,0,892477,3193249,2001
158219,495722,0,372282,1068256,2001
158237,1234789,0,524904,2402934,2001
158307,774518,0,492645,1659852,2001
158352,2445288,0,970608,4782363,2001
158431,7685394,1186106,5595813,19699039,2001
158583,510093,0,475266,1270520,2001
158662,27408503,0,11379810,59486028,2001
158769,1461105,0,1178859,3310638,2001
158884,2921524,0,2643314,9324355,2001
158893,894663,0,332251,1489884,2001
158936,359456,0,295457,790421,2001
158945,711352,0,271879,1178104,2001
159009,17841858,1646371,20940490,58989861,2001
159018,1234920,0,478689,2215889,2001
159045,663788,0,415194,1466508,2001
159090,719297,0,416530,1504960,2001
159249,537034,0,313627,1106051,2001
159258,1362887,0,596164,2359476,2001
159267,1016466,0,544630,1927064,2001
159373,183034842,192176557,108063256,509182412,2001
159382,5166497,79872,2564207,11439934,2001
159391,163262599,191583814,88692716,521016980,2001
159407,5066994,0,3031497,12881889,2001
159416,12275363,2904184,6664413,28595961,2001
159443,3311115,0,1357828,5502704,2001
159638,0,0,3709736,3847970,2001
159647,32714728,11652321,19994542,85166286,2001
159692,523707,0,326039,1136705,2001
159717,21789144,1872119,13802155,51859685,2001
159823,1239184,0,633817,2225003,2001
159939,56989261,36843766,33160436,154516324,2001
159966,19510877,1731868,12331428,49098165,2001
159984,396627,0,275106,1002103,2001
159993,27517470,11836972,17958462,79150323,2001
160001,565303,0,453680,1353120,2001
160010,2340873,0,719611,3752987,2001
160038,24012489,2506325,16519517,61754854,2001
160047,805078,0,343754,1465072,2001
160214,1404258,0,641438,2498116,2001
160311,1390610,0,474823,2098471,2001
160366,693778,0,251374,1233517,2001
160384,553060,0,314190,1114560,2001
160427,2296820,0,963970,4314336,2001
160436,1355113,0,759561,2871457,2001
160454,1042951,0,469666,1901136,2001
160481,1693125,0,1053215,3285136,2001
160533,0,2934034,3389627,4530079,2001
160560,1190592,0,595106,2232452,2001
160579,4069544,0,1452004,7302105,2001
160612,39044597,3281056,23940045,93914715,2001
160621,32665915,10006090,38254612,109201564,2001
160630,10216736,1402601,11337214,32634481,2001
160649,2599337,111281,5055125,11006714,2001
160658,37926927,33908723,30602053,126412621,2001
160667,1855954,0,1222768,3741093,2001
160676,2447655,0,787658,4398663,2001
160685,1813180,0,992397,3368344,2001
160694,1259741,0,626586,2446526,2001
160719,1178015,0,348963,1771114,2001
160816,668564,0,444600,1426571,2001
160843,809910,0,374850,1538004,2001
160870,1568613,0,768193,2684941,2001
160913,2867160,0,813012,4077218,2001
161077,4776427,7192,3005727,9613116,2001
161138,4994487,88211,2890911,10541348,2001
161192,3560282,21275,3301981,8531062,2001
161217,9439223,2152392,7122917,28978295,2001
161226,10072679,2042114,6824529,26916596,2001
161235,2958414,325109,2911593,8020250,2001
161244,2874877,379425,3310532,8454263,2001
161253,55028004,65716612,46297942,206579332,2001
161280,762987,525027,15818102,25229555,2001
161299,4034920,815057,6943381,16010657,2001
161341,4663809,873824,3990762,13568193,2001
161484,3958840,4558,2714689,9108334,2001
161545,9829818,125303,4804855,18381864,2001
161554,43512792,22975989,30275652,116156565,2001
161581,2090761,0,1892292,5015705,2001
